,genome_id,genome_name,taxon_id,ampicillin,amoxicillin_clavulanic_acid,cefoxitin,ceftriaxone,chloramphenicol,ciprofloxacin,gentamicin,streptomycin,tetracycline,trimethoprim_sulphamethoxazole,meropenem,cefepime,ceftazidime,piperacillin_tazobactam,amikacin,ampicillin_sulbactam,cefotaxime,cefalothin,ertapenem,imipenem,levofloxacin,nitrofurantoin,tigecycline,cefazolin,aztreonam,cefuroxime,tobramycin,trimethoprim,amoxicillin,colistin,norfloxacin,sulfamethoxazole
31,562.23560,Escherichia coli H1 strain ECO1247,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
32,562.22824,Escherichia coli H31 strain ECO0423,562,susceptible,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,intermediate,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
33,562.23245,Escherichia coli H45 strain ECO0872,562,,resistant,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
34,562.23869,Escherichia coli H9 strain ECO0972,562,,resistant,,,,resistant,resistant,,,,,,resistant,resistant,,,resistant,,,susceptible,,,susceptible,,,resistant,,,resistant,,,
35,562.23814,Escherichia coli NA:H1 strain ECO0955,562,,resistant,,,,susceptible,susceptible,,,,,,susceptible,intermediate,,,intermediate,,,susceptible,,,susceptible,,,resistant,,,resistant,,,
36,562.23807,Escherichia coli NA:H10 strain ECO0903,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
37,562.23135,Escherichia coli NA:H12 strain ECO0470,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,,,,susceptible,,,,,,susceptible,,,susceptible,,,
38,562.23366,Escherichia coli NA:H12 strain ECO1131,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
39,562.23529,Escherichia coli NA:H12 strain ECO1217,562,,resistant,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
40,562.22760,Escherichia coli NA:H14 strain ECO0351,562,susceptible,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,intermediate,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
41,562.23536,Escherichia coli NA:H15 strain ECO1221,562,,resistant,,,,susceptible,resistant,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
42,562.23759,Escherichia coli NA:H15 strain ECO1502,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
43,562.23232,Escherichia coli NA:H16 strain ECO0857,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
44,562.22751,Escherichia coli NA:H18 strain ECO0342,562,resistant,resistant,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,intermediate,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,resistant,,,,
45,562.23866,Escherichia coli NA:H18 strain ECO0379,562,resistant,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,susceptible,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,resistant,,,,
46,562.23786,Escherichia coli NA:H18 strain ECO0729,562,,resistant,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
47,562.22690,Escherichia coli NA:H19 strain ECO0280,562,susceptible,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,susceptible,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
48,562.23166,Escherichia coli NA:H19 strain ECO0783,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
49,562.23743,Escherichia coli NA:H19 strain ECO1479,562,,resistant,,,,susceptible,susceptible,,,,,,intermediate,susceptible,,,intermediate,,,susceptible,,,susceptible,,,resistant,,,resistant,,,
50,562.22662,Escherichia coli NA:H2 strain ECO0248,562,resistant,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,susceptible,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
51,562.22687,Escherichia coli NA:H2 strain ECO0279,562,resistant,resistant,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,susceptible,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
52,562.22988,Escherichia coli NA:H2 strain ECO0612,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
53,562.23472,Escherichia coli NA:H2 strain ECO1038,562,,resistant,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
54,562.23510,Escherichia coli NA:H2 strain ECO1193,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
55,562.22996,Escherichia coli NA:H20 strain ECO0620,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
56,562.23771,Escherichia coli NA:H20 strain ECO1521,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
57,562.22890,Escherichia coli NA:H21 strain ECO0496,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,intermediate,,,,,,susceptible,,,,,,susceptible,,,susceptible,,,
58,562.22639,Escherichia coli NA:H30 strain ECO0226,562,resistant,resistant,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,intermediate,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,resistant,,,,
59,562.22741,Escherichia coli NA:H30 strain ECO0331,562,resistant,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,intermediate,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,resistant,,,,
60,562.22764,Escherichia coli NA:H30 strain ECO0355,562,resistant,resistant,intermediate,,,susceptible,susceptible,,,,susceptible,resistant,intermediate,susceptible,susceptible,,resistant,resistant,susceptible,,,,susceptible,,resistant,resistant,susceptible,resistant,,,,
61,562.22792,Escherichia coli NA:H30 strain ECO0389,562,resistant,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,intermediate,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,resistant,,,,
62,562.23044,Escherichia coli NA:H30 strain ECO0679,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
63,562.22981,Escherichia coli NA:H31 strain ECO0603,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
64,562.22780,Escherichia coli NA:H34 strain ECO0374,562,resistant,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,susceptible,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
65,562.22582,Escherichia coli NA:H4 strain ECO0157,562,resistant,resistant,susceptible,,,resistant,resistant,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,intermediate,susceptible,,,,susceptible,,susceptible,resistant,resistant,susceptible,,,,
66,562.22791,Escherichia coli NA:H4 strain ECO0388,562,susceptible,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,susceptible,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
67,562.23064,Escherichia coli NA:H4 strain ECO0699,562,,resistant,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
68,562.23195,Escherichia coli NA:H4 strain ECO0817,562,,resistant,,,,resistant,susceptible,,,,,,susceptible,intermediate,,,resistant,,,susceptible,,,susceptible,,,resistant,,,resistant,,,
69,562.23165,Escherichia coli NA:H4 strain ECO0853,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
70,562.23808,Escherichia coli NA:H4 strain ECO0897,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
71,562.23285,Escherichia coli NA:H4 strain ECO0932,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
72,562.23603,Escherichia coli NA:H4 strain ECO1313,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
73,562.23630,Escherichia coli NA:H4 strain ECO1354,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
74,562.23773,Escherichia coli NA:H4 strain ECO1524,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
75,562.23088,Escherichia coli NA:H40 strain ECO0728,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
76,562.23892,Escherichia coli NA:H40 strain ECO1330,562,,resistant,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,resistant,,,
77,562.22599,Escherichia coli NA:H5 strain ECO0175,562,susceptible,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,susceptible,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
78,562.22675,Escherichia coli NA:H5 strain ECO0264,562,susceptible,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,susceptible,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
79,562.22743,Escherichia coli NA:H5 strain ECO0333,562,resistant,susceptible,resistant,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,resistant,susceptible,,,,intermediate,,susceptible,resistant,susceptible,susceptible,,,,
80,562.22850,Escherichia coli NA:H5 strain ECO0466,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,,,,susceptible,,,,,,susceptible,,,susceptible,,,
81,562.22503,Escherichia coli NA:H6 strain ECO0076,562,resistant,resistant,intermediate,,,resistant,resistant,,,,susceptible,resistant,resistant,susceptible,intermediate,,resistant,resistant,susceptible,,,,susceptible,,resistant,resistant,resistant,susceptible,,,,
82,562.22854,Escherichia coli NA:H6 strain ECO0471,562,,susceptible,,,,resistant,resistant,,,,,,susceptible,susceptible,,,,,,susceptible,,,,,,resistant,,,susceptible,,,
83,562.23788,Escherichia coli NA:H6 strain ECO0719,562,,resistant,,,,resistant,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,resistant,,,
84,562.22757,Escherichia coli NA:H7 strain ECO0348,562,resistant,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,susceptible,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
85,562.23216,Escherichia coli NA:H9 strain ECO0839,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
86,562.23641,Escherichia coli O1 strain ECO1329,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
87,562.22464,Escherichia coli O102:H6 strain ECO0038,562,resistant,susceptible,intermediate,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,intermediate,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
88,562.22562,Escherichia coli O102:H6 strain ECO0137,562,resistant,resistant,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,intermediate,susceptible,,,,susceptible,,susceptible,resistant,susceptible,resistant,,,,
89,562.22835,Escherichia coli O102:H6 strain ECO0447,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,,,,susceptible,,,,,,susceptible,,,resistant,,,
90,562.22847,Escherichia coli O102:H6 strain ECO0462,562,,resistant,,,,resistant,susceptible,,,,,,susceptible,intermediate,,,,,,susceptible,,,,,,resistant,,,resistant,,,
91,562.22860,Escherichia coli O102:H6 strain ECO0477,562,,resistant,,,,resistant,susceptible,,,,,,susceptible,intermediate,,,,,,susceptible,,,,,,resistant,,,resistant,,,
92,562.22933,Escherichia coli O102:H6 strain ECO0543,562,,resistant,,,,resistant,susceptible,,,,,,susceptible,intermediate,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,resistant,,,
93,562.22997,Escherichia coli O102:H6 strain ECO0621,562,,susceptible,,,,resistant,resistant,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
94,562.23052,Escherichia coli O102:H6 strain ECO0686,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
95,562.23800,Escherichia coli O102:H6 strain ECO0753,562,,resistant,,,,resistant,susceptible,,,,,,susceptible,resistant,,,resistant,,,susceptible,,,susceptible,,,resistant,,,resistant,,,
96,562.23494,Escherichia coli O102:H6 strain ECO1023,562,,resistant,,,,resistant,resistant,,,,,,resistant,intermediate,,,resistant,,,intermediate,,,susceptible,,,resistant,,,resistant,,,
97,562.23470,Escherichia coli O102:H6 strain ECO1034,562,,resistant,,,,resistant,susceptible,,,,,,susceptible,resistant,,,susceptible,,,resistant,,,susceptible,,,resistant,,,resistant,,,
98,562.23435,Escherichia coli O102:H6 strain ECO1077,562,,resistant,,,,resistant,susceptible,,,,,,susceptible,intermediate,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,resistant,,,
99,562.23391,Escherichia coli O102:H6 strain ECO1156,562,,resistant,,,,resistant,resistant,,,,,,resistant,resistant,,,resistant,,,susceptible,,,susceptible,,,resistant,,,resistant,,,
100,562.23717,Escherichia coli O102:H6 strain ECO1440,562,,susceptible,,,,susceptible,resistant,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
101,562.23721,Escherichia coli O102:H6 strain ECO1446,562,,resistant,,,,resistant,resistant,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
102,562.23897,Escherichia coli O102:H6 strain ECO1474,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
103,562.23878,Escherichia coli O103:H2 strain ECO1312,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
104,562.23685,Escherichia coli O103:H8 strain ECO1397,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
105,562.22522,Escherichia coli O104:H7 strain ECO0096,562,susceptible,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,intermediate,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
106,562.22809,Escherichia coli O107:H27 strain ECO0408,562,susceptible,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,susceptible,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
107,562.22608,Escherichia coli O108:H2 strain ECO0184,562,susceptible,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,susceptible,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
108,562.23298,Escherichia coli O108:H2 strain ECO0946,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
109,562.23290,Escherichia coli O108:H8 strain ECO0937,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
110,562.23697,Escherichia coli O108:H9 strain ECO1392,562,,resistant,,,,resistant,intermediate,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
111,562.23774,Escherichia coli O108:H9 strain ECO1523,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
112,562.23906,Escherichia coli O10:H4 strain ECO1525,562,,resistant,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,resistant,,,
113,562.23490,Escherichia coli O110:H28 strain ECO1069,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
114,562.22796,Escherichia coli O113:H5 strain ECO0394,562,susceptible,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,intermediate,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
115,562.23208,Escherichia coli O113:H5 strain ECO0831,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
116,562.23431,Escherichia coli O117:H28 strain ECO0994,562,,resistant,,,,susceptible,resistant,,,,,,susceptible,resistant,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
117,562.22590,Escherichia coli O117:H4 strain ECO0165,562,susceptible,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,susceptible,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
118,562.22699,Escherichia coli O117:H4 strain ECO0289,562,susceptible,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,intermediate,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
119,562.22716,Escherichia coli O117:H4 strain ECO0301,562,resistant,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,intermediate,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
120,562.23825,Escherichia coli O117:H4 strain ECO1292,562,,resistant,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
121,562.22449,Escherichia coli O11:H12 strain ECO0022,562,susceptible,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,susceptible,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
122,562.22763,Escherichia coli O11:H15 strain ECO0354,562,susceptible,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,resistant,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
123,562.23904,Escherichia coli O11:H15 strain ECO1537,562,,resistant,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
124,562.22466,Escherichia coli O11:H18 strain ECO0037,562,resistant,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,intermediate,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,resistant,,,,
125,562.22480,Escherichia coli O11:H21 strain ECO0053,562,resistant,resistant,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,susceptible,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,resistant,,,,
126,562.22453,Escherichia coli O11:H25 strain ECO0026,562,susceptible,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,susceptible,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
127,562.22807,Escherichia coli O11:H25 strain ECO0405,562,resistant,susceptible,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,intermediate,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
128,562.22862,Escherichia coli O11:H4 strain ECO0479,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,,,,susceptible,,,,,,susceptible,,,resistant,,,
